study_number,title,author,publication_year,sample_id,location,sample_type,grab_composite,fraction,sample_size_ml,sample_size_g,concentration_method,extraction_method,PCR_method,primer,target_gene,original_copy_number_vol,original_copy_number_mass,copy_number_ml,log_copy_number_ml,root_3_copy_number_ml,copy_number_g,log_copy_number_g,root_3_copy_number_g,ct,positivity,positive_negative,positive_negative_num,detection_kit,population,case_original,case_cumulative,case_daily,case_active,case_hospitalized,case_weekly,digitalizer,study_info,date
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_01,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,31501,0.13,0.4,0.4,NA,NA,NA,yes,WWTP_A,2020-Mar-19
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_01,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,31501,0.13,0.4,0.4,NA,NA,NA,yes,WWTP_A,2020-Mar-19
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_01,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,31501,0.13,0.4,0.4,NA,NA,NA,yes,WWTP_A,2020-Mar-19
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_02,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,112396,0.56,0.5,0.5,NA,NA,NA,yes,WWTP_B,2020-Mar-26
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_02,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,112396,0.56,0.5,0.5,NA,NA,NA,yes,WWTP_B,2020-Mar-26
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_02,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,112396,0.56,0.5,0.5,NA,NA,NA,yes,WWTP_B,2020-Mar-26
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_03,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,2.37,1.4,0.3,NA,NA,NA,yes,WWTP_D,2020-Apr-03
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_03,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,2.37,1.4,0.3,NA,NA,NA,yes,WWTP_D,2020-Apr-03
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_03,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,2.37,1.4,0.3,NA,NA,NA,yes,WWTP_D,2020-Apr-03
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_04,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,112396,13.71,12.2,10,NA,NA,NA,yes,WWTP_B,2020-Apr-16
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_04,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,112396,13.71,12.2,10,NA,NA,NA,yes,WWTP_B,2020-Apr-16
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_04,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,112396,13.71,12.2,10,NA,NA,NA,yes,WWTP_B,2020-Apr-16
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_05,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,150223,23.59,15.7,14.5,NA,NA,NA,yes,WWTP_C,2020-Apr-21
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_05,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,150223,23.59,15.7,14.5,NA,NA,NA,yes,WWTP_C,2020-Apr-21
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_05,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,150223,23.59,15.7,14.5,NA,NA,NA,yes,WWTP_C,2020-Apr-21
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_06,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,112396,19.56,17.4,14,NA,NA,NA,yes,WWTP_B,2020-Apr-23
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_06,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,112396,19.56,17.4,14,NA,NA,NA,yes,WWTP_B,2020-Apr-23
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_06,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,112396,19.56,17.4,14,NA,NA,NA,yes,WWTP_B,2020-Apr-23
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_07,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,169400,18.3,10.8,9.8,NA,NA,NA,yes,WWTP_D,2020-Apr-24
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_07,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,Not Detected,NA,0,NA,0,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Negative,0,NA,169400,18.3,10.8,9.8,NA,NA,NA,yes,WWTP_D,2020-Apr-24
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_07,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,NIID_N,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,169400,18.3,10.8,9.8,NA,NA,NA,yes,WWTP_D,2020-Apr-24
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_08,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N2,N,1-10 copies/L,NA,0.005,-2.301029996,0.170997595,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,31501,6.9,21.9,18.9,NA,NA,NA,yes,WWTP_A,2020-Apr-30
1,Detection of SARS-CoV-2 in wastewater in Japan by multiple molecular assays-implication for wastewater-based epidemiology (WBE),"Hata, A et al.",2020,S1_08,WWTP,Influent,Grab,S,100,NA,PEG precipitation,QIAamp Viral RNA mini kit,qPCR,CDC_N3,N,1.2x10^4 copies/L,NA,12,1.079181246,2.289428485,NA,NA,NA,NA,> 1 copy/reaction; equivalent to 1000 copies/L in the original sample,Positive,1,NA,31501,6.9,21.9,18.9,NA,NA,NA,yes,WWTP_A,2020-Apr-30
